,apoptosis,autophagy,ferroptosis,necroptosis,pyroptosis,others
HIF1A,0.11828803582779968,0.1091290664647917,0.019860777547915077,0.10888034933107345,0.16452915890620712,1.0
TRIM28,0.04730324340018078,0.03874220021477207,0.03932792937164893,0.09102918836773741,0.1426549029311042,1.0
SNX17,0.054809294360085914,0.08215259473081506,0.031227175753521148,0.06693549512567148,0.10680403104770779,1.0
IPO7,0.0,0.0,0.0,0.0,0.0,1.0
CKAP4,0.0,0.0,0.0,0.0,0.0,1.0
AARS1,0.0,0.0,0.0,0.0,0.0,1.0
SSR4,0.0,0.0,0.0,0.0,0.0,1.0
CD9,0.04038604494501434,0.005528423431841263,0.013426732107030777,0.058301606965012284,0.12745524720020895,1.0
HADHB,0.0,0.0,0.0,0.0,0.0,1.0
TXNIP,0.0,0.0,0.0,0.0,0.0,1.0
RPN1,0.0,0.0,0.0,0.0,0.0,1.0
ANXA1,0.052528339553543454,0.024158559247285393,0.01736546780748911,0.4307399942553841,0.12235976709531546,1.0
PAICS,0.04527758532205382,0.026263816194820953,0.008752450746223517,0.2304602495468282,0.08912396333720424,1.0
JUP,0.17985864632637885,0.2984026599661482,0.2190594080638451,0.017114795514098276,0.0,1.0
EIF1AX,0.0,0.0,0.0,0.0,0.0,1.0
YWHAH,0.0625,0.0,0.0,0.0,0.0,1.0
DSTN,0.0,0.0,0.0,0.0,0.0,1.0
TAF7,0.0,0.0,0.0,0.0,0.0,1.0
EIF5B,0.0,0.0,0.0,0.0,0.0,1.0
CD99,0.0,0.0,0.0,0.0,0.0,1.0
LDHB,0.0,0.0,0.0,0.0,0.0,1.0
HNRNPH1,0.0,0.0,0.0,0.0,0.0,1.0
BLCAP,0.0625,0.0,0.0,0.0,0.0,1.0
ADD3,0.045658522095091664,0.021161923327011674,0.005361260704968777,0.18590911247332706,0.1870927241489491,1.0
HADH,0.03877846401256686,0.02516374319237588,0.016063763420416544,0.18692663336988408,0.11032975571022857,1.0
PFKP,0.04071368717814108,0.01619277177453082,0.010847929010154411,0.12982471753486438,0.12434015400053897,1.0
RAD23A,0.0,0.0,0.0,0.0,0.0,1.0
GNAI2,0.03255652726316712,0.021626694606834865,0.0030289437102735727,0.15039544356616716,0.13132692523236858,1.0
TGM2,0.03849714578580868,0.008465972871378956,0.008030850230532148,0.19487229801250616,0.1310424789153104,1.0
DUSP1,0.04567399268764283,0.010025578562473192,0.00890277058170586,0.17698146358747593,0.22329355138278503,1.0
RAB6A,0.0,0.0,0.0,0.0,0.0,1.0
RPS18,0.0,0.0,0.0,0.0,0.0,1.0
PLD3,0.0,0.0,0.0,0.0,0.0,1.0
ANP32A,0.0,0.0,0.0,0.0,0.0,1.0
PSMF1,0.0625,0.0,0.0,0.0,0.0,1.0
HNRNPA0,0.0,0.0,0.0,0.0,0.0,1.0
GOLGB1,0.0,0.0,0.0,0.0,0.0,1.0
MYL9,0.0570844276422016,0.017021376781363555,0.021189347692157506,0.15378066698175613,0.12076075707548022,1.0
STOM,0.0,0.0,0.0,0.0,0.0,1.0
RCN1,0.0,0.0,0.0,0.0,0.0,1.0
PABPC4,0.0,0.0,0.0,0.0,0.0,1.0
CYC1,0.0,0.0,0.0,0.0,0.0,1.0
PSMC2,0.0625,0.0,0.0,0.0,0.0,1.0
MMP2,0.0,0.0,0.0,0.0,0.0,1.0
SF3B1,0.1296799753380437,0.2407543741379653,0.4077139753422999,0.0977775013194303,0.04432618258965823,1.0
SMARCC1,0.0,0.0,0.0,0.0,0.0,1.0
SNU13,0.13655651384010503,0.345900573434318,0.6203522449961678,0.06132332342944438,0.03362239951794182,1.0
TM9SF2,0.0,0.0,0.0,0.0,0.0,1.0
SYNGR2,0.0,0.0,0.0,0.0,0.0,1.0
PIP4K2B,0.04166671946062245,0.03460531847828986,0.029041251249673834,0.19098187757909632,0.103981805155219,1.0
BCLAF1,0.0625,0.0,0.0,0.0,0.0,1.0
PXN,0.0,0.0,0.0,0.0,0.0,1.0
ATP6V1B2,0.0,0.0,0.0,0.0,0.0,1.0
TUBA1B,0.1460772434529703,0.06071588604233358,0.257069520233527,0.20525280571249177,0.07842758777880694,1.0
RBBP7,0.0,0.0,0.0,0.0,0.0,1.0
SDHA,0.06905575278255546,0.03333014361168726,0.00783167385577066,0.09298054598453528,0.08530821926588475,1.0
RPS29,0.0,0.0,0.0,0.0,0.0,1.0
DAP,0.09611709465246467,0.018560221267470187,0.01400832554709748,0.2551900299089463,0.12184559420094909,1.0
