,apoptosis,autophagy,ferroptosis,necroptosis,pyroptosis,others
PSMC6,1,0,0,0,0,1
CCND3,0,0,0,0,0,1
PGRMC2,0,0,0,0,0,1
PPP1R10,0,0,0,0,0,1
ENTPD6,0,0,0,0,0,1
PSMD7,1,0,0,0,0,1
PEX19,0,0,0,0,0,1
NIPSNAP1,0,0,0,0,0,1
MYBL2,0,0,0,0,0,1
RANBP2,0,0,0,0,0,1
TUBG1,0,0,0,0,0,1
ACIN1,1,0,0,0,0,1
MRPL49,0,0,0,0,0,1
EPB41L2,0,0,0,0,0,1
LAPTM5,0,0,0,0,0,1
GALNT1,0,0,0,0,0,1
CDC123,0,0,0,0,0,1
ELAVL1,0,0,0,0,0,1
BLTP2,0,0,0,0,0,1
TPR,0,0,0,0,0,1
CLCN3,0,0,0,0,0,1
MARCHF6,0,0,0,0,0,1
EIF1B,0,0,0,0,0,1
SGK1,1,0,0,0,0,1
NDUFS3,0,0,0,0,0,1
SRSF1,0,0,0,0,0,1
CD14,1,0,0,0,0,1
LUM,0,0,0,0,0,1
TWF1,0,0,0,0,0,1
TP53,1,0,1,0,1,1
SAFB,0,0,0,0,0,1
ECE1,0,0,0,0,0,1
JOSD1,0,0,0,0,0,1
COX6C,0,0,0,0,0,1
RPA2,0,0,0,0,0,1
TSG101,0,0,0,0,0,1
WSB2,0,0,0,0,0,1
MTHFD2,0,0,0,0,0,1
PSME2,1,0,0,0,0,1
DAXX,1,0,0,0,0,1
TMEM106C,0,0,0,0,0,1
HEXA,0,0,0,0,0,1
ELAC2,0,0,0,0,0,1
CLINT1,0,0,0,0,0,1
SNRPA,0,0,0,0,0,1
SCAMP3,0,0,0,0,0,1
AZIN1,0,0,0,0,0,1
ADNP,0,0,0,0,0,1
NCAPD2,0,0,0,0,0,1
EFCAB14,0,0,0,0,0,1
RNF13,0,0,0,0,0,1
AIP,0,0,0,0,0,1
RELA,1,0,0,0,0,1
C11orf58,0,0,0,0,0,1
RNASE1,0,0,0,0,0,1
ADAR,1,0,0,0,0,1
DDX42,0,0,0,0,0,1
DHCR7,0,0,0,0,0,1
AEBP1,0,0,0,0,0,1
SMG7,0,0,0,0,0,1
LBR,0,0,0,0,0,1
VARS1,0,0,0,0,0,1
MYOF,0,0,0,0,0,1
OSBP,0,0,0,0,0,1
SLC29A1,0,0,0,0,0,1
POLR2B,0,0,0,0,0,1
TBCB,0,0,0,0,0,1
PRKAG1,0,0,0,0,0,1
VPS26A,0,0,0,0,0,1
